Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_destroy_nodes(int**, int**)
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_map(int**, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_base()
  0.00      0.00     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::~_Deque_base()
  0.00      0.00     0.00        1     0.00     0.00  std::random_device::random_device()
  0.00      0.00     0.00        1     0.00     0.00  std::random_device::~random_device()
  0.00      0.00     0.00        1     0.00     0.00  std::random_device::operator()()
  0.00      0.00     0.00        1     0.00     0.00  std::__new_allocator<int*>::deallocate(int**, unsigned long)
